#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
16,Justin Turner,457759,5235,5235,7742,*01lum*,CHC,1B,1B/3B,Turner,Justin,Turner,Justin,Justin Turner
17,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy,Sandy León
18,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie,Freddie Freeman
19,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose,Jose Altuve
20,Jesse Chavez,445926,5448,5448,6704,*013ip*,ATL,RP,RP,Chavez,Jesse,Chavez,Jesse,Jesse Chavez
21,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle,Kyle Higashioka
22,Ryan Brasier,518489,5615,5615,8481,*021jb*,CHC,RP,RP,Brasier,Ryan,Brasier,Ryan,Ryan Brasier
23,Avisail Garcia,541645,5760,5760,8378,*01urw*,FA,OF,OF,Garcia,Avisail,,,
24,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B,1B,Flores,Wilmer,Flores,Wilmer,Wilmer Flores
25,Leury Garcia,544725,5913,5913,8440,,ATL,2B,2B/SS/ 3B/OF,Garcia,Leury,Garcia,Leury,Leury García
26,Alex Cobb,502171,6562,6562,8058,*01seh*,DET,SP,SP,Cobb,Alex,Cobb,Alex,Alex Cobb
27,Carlos Carrasco,471911,6632,6632,7183,*01as6*,NYY,SP,SP,Carrasco,Carlos,Carrasco,Carlos,Carlos Carrasco
28,Craig Kimbrel,518886,6655,6655,7760,*01scl*,ATL,RP,RP,Kimbrel,Craig,Kimbrel,Craig,Craig Kimbrel
29,Martin Maldonado,455117,6887,6887,8159,*021t6*,SD,C,C,Maldonado,Martin,Maldonado,Martín,Martín Maldonado
30,Martin Perez,527048,6902,6902,7791,*01fhm*,CHW,SP,SP,Perez,Martin,Pérez,Martín,Martín Pérez
31,Luis Garcia,472610,6984,6984,8542,*0321h*,LAD,RP,RP,Garcia,Luis,García,Luis,Luis García
32,Ryan Pressly,519151,7005,7005,8452,*02zif*,CHC,RP,RP,Pressly,Ryan,Pressly,Ryan,Ryan Pressly
33,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador,Salvador Perez
34,Evan Scribner,519267,7525,,8055,,TB,RP,RP,Scribner,Evan,Scribner,Evan,Evan Scribner
35,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis,Travis d’Arnaud
36,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,SS,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel,Miguel Rojas
37,Hunter Strickland,519326,7836,7836,8890,*01ses*,TEX,RP,RP,Strickland,Hunter,Strickland,Hunter,Hunter Strickland
38,Will Smith,519293,8048,8048,8297,*01skh*,FA,RP,RP,Smith,Will,,,
39,Bryan Shaw,543766,8110,8110,8090,*01uay*,CIN,RP,RP,Shaw,Bryan,Shaw,Bryan,Bryan Shaw
40,David Robertson,502085,8241,8241,7384,*005m0*,FA,RP,RP,Robertson,David,,,
41,Donovan Solano,456781,8623,8623,8294,*01te5*,SEA,1B/3B,1B/3B,Solano,Donovan,Solano,Donovan,Donovan Solano
42,Justin Verlander,434378,8700,8700,5420,*000dp*,SF,SP,SP,Verlander,Justin,Verlander,Justin,Justin Verlander
43,Wade Miley,489119,8779,8779,8137,*01sev*,CIN,SP,SP,Miley,Wade,Miley,Wade,Wade Miley
44,Kirby Yates,489446,9073,9073,8808,*030vs*,LAD,RP,RP,Yates,Kirby,Yates,Kirby,Kirby Yates
45,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi
46,Casey Kelly,543391,9174,9174,8028,,ARI,RP,RP,Kelly,Casey,Kelly,Casey,Casey Kelly
47,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul,Paul Goldschmidt
48,Starling Marte,516782,9241,9241,7736,*01s9k*,NYM,OF,OF,Marte,Starling,Marte,Starling,Starling Marte
49,Patrick Corbin,571578,9323,9323,8272,*01xfr*,TEX,SP,SP,Corbin,Patrick,Corbin,Patrick,Patrick Corbin
50,Joe Kelly,523260,9761,9761,8316,*01sve*,FA,RP,RP,Kelly,Joe,,,
51,Christian Vazquez,543877,9774,9774,8843,*029us*,MIN,C,C,Vazquez,Christian,Vázquez,Christian,Christian Vázquez
52,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan,Nolan Arenado
53,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,PIT,DH,DH,McCutchen,Andrew,McCutchen,Andrew,Andrew McCutchen
54,DJ LeMahieu,518934,9874,9874,8079,*01sfi*,NYY,1B/3B,1B/3B,LeMahieu,DJ,LeMahieu,DJ,DJ LeMahieu
55,Trayce Thompson,572204,9952,9952,9116,*01sb1*,BOS,OF,OF,Thompson,Trayce,Thompson,Trayce,Trayce Thompson
56,Christian Bethancourt,542194,10028,10028,8615,*01sci*,TOR,C,C,Bethancourt,Christian,Bethancourt,Christian,Christian Bethancourt
57,Chris Owings,572008,10030,10030,8611,*01s8o*,LAD,SS,2B/SS,Owings,Chris,Owings,Chris,Chris Owings
58,Tyler Matzek,554431,10058,10058,7675,*01iz0*,NYY,RP,RP,Matzek,Tyler,Matzek,Tyler,Tyler Matzek
59,Max Stassi,545358,10059,10059,8582,*01sc7*,SF,C,C,Stassi,Max,Stassi,Max,Max Stassi
60,Kyle Gibson,502043,10123,10123,8026,*01fha*,BAL,SP,SP,Gibson,Kyle,Gibson,Kyle,Kyle Gibson
61,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike,Mike Trout
62,Shelby Miller,571946,10197,10197,7683,*01sbv*,ARI,RP,RP,Miller,Shelby,Miller,Shelby,Shelby Miller
63,Tucker Barnhart,571466,10200,10200,8747,*022vw*,TEX,C,C,Barnhart,Tucker,Barnhart,Tucker,Tucker Barnhart
64,Jose Iglesias,578428,10231,10231,7867,*01s98*,SD,2B/3B,2B/SS/ 3B,Iglesias,Jose,Iglesias,Jose,Jose Iglesias
65,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis,Aroldis Chapman
66,Randal Grichuk,545341,10243,10243,8773,*01s9c*,ARI,OF,OF,Grichuk,Randal,Grichuk,Randal,Randal Grichuk
67,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack,Zack Wheeler
68,Erasmo Ramirez,541640,10314,10314,8242,*02cch*,MIN,RP,RP,Ramirez,Erasmo,Ramírez,Erasmo,Erasmo Ramírez
69,Michael Tonkin,543859,10315,10315,8541,*02oyz*,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael,Michael Tonkin
70,Rafael Ortega,542364,10323,10323,8410,*022vt*,NYM,OF,OF,Ortega,Rafael,Ortega,Rafael,Rafael Ortega
71,Marcell Ozuna,542303,10324,10324,8478,*01usi*,ATL,DH,1B,Ozuna,Marcell,Ozuna,Marcell,Marcell Ozuna
72,Enrique Hernandez,571771,10472,10472,8835,*02h98*,LAD,3B/OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,Hernández,Enrique,Enrique Hernández
73,Scott Alexander,518397,10591,10591,9149,*02hi5*,COL,RP,RP,Alexander,Scott,Alexander,Scott,Scott Alexander
74,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris,Chris Sale
