Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,H,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Max Kepler","MIN",2024,31,0.681942319,8,43,42,1,0,399,368,0.252717391,0.300353356,22,93,63,21,1,3,5,0.127717391,80,0.301507537,0.380434782,3,0.9653057148795947,0.2980898906238115,-3.882305873039867,42.79194470733056,94.1491259960384,-0.5103180110454559,0.200501253,0.06164384,0.36643836,"Max Kepler",12144,596146
"Gabriel Arias","CLE",2024,24,0.607599561,3,15,15,5,2,161,153,0.222222222,0.31632653,6,34,21,9,1,4,1,0.130718954,53,0.254658385,0.352941176,1,-0.2288741578068076,0.26335191208383313,-6.067979632020836,12.765489900409335,70.28110656271517,-0.03100062906742096,0.329192546,0.07920792,0.36633663,"Gabriel Arias",22563,672356
"Adam Duvall","ATL",2024,35,0.568886888,11,29,30,0,0,330,303,0.181518151,0.226804123,21,55,34,10,0,6,5,0.141914192,99,0.245454545,0.323432343,1,-1.1044207821041356,0.2519425843701218,-15.467836220277832,23.13492741762252,58.04828449775619,-0.4735453426837921,0.3,0.10731707,0.36585366,"Adam Duvall",10950,594807
"Bobby Dalbec","BOS",2024,29,0.410162388,1,6,8,3,0,93,83,0.13253012,0.256410256,8,11,8,2,0,1,1,0.060240964,43,0.217391304,0.192771084,0,-0.6968387294402847,0.19397203105947244,-8.698330531539575,2.180630130050524,14.439004437012517,0.4658288285136223,0.462365591,0.02439024,0.36585366,"Bobby Dalbec",19966,666915
"Nick Gonzales","PIT",2024,25,0.709209519,7,42,49,5,3,387,359,0.270194986,0.319148936,18,97,68,19,3,8,5,0.128133704,74,0.310880829,0.39832869,4,1.32082437263524,0.3070752961294992,-0.9667618007006952,44.30375192010972,93.7625219913555,-0.9253372251987457,0.19121447,0.07931034,0.36551724,"Nick Gonzales",27490,693304
"Sean Murphy","ATL",2024,29,0.636022239,10,19,25,0,0,264,233,0.193133047,0.222929936,27,45,29,5,1,7,3,0.158798283,67,0.284090909,0.35193133,1,0.8212260014025318,0.28139100781864995,-6.116975043716677,24.765235866603604,77.86909205464173,-0.4577604979276657,0.253787878,0.09580838,0.36526946,"Sean Murphy",19352,669221
"Jake Cronenworth","SDP",2024,30,0.713567637,17,72,83,5,2,656,577,0.240901213,0.274157303,61,139,90,29,3,19,11,0.149046793,118,0.323619631,0.389948006,3,2.0774679618137357,0.31488512410708,2.4847502556179957,79.2223652448987,105.28264760943829,-1.08858522772789,0.179878048,0.07725322,0.36480687,"Jake Cronenworth",18036,630105
"Rowdy Tellez","PIT",2024,29,0.690932318,13,38,56,1,0,421,383,0.242819843,0.279720279,31,93,62,18,0,12,2,0.148825065,89,0.29928741,0.391644908,5,-0.4661382727812138,0.3009369958041683,-3.13163695480846,46.116131201421986,89.63102511555812,-0.5497801229357719,0.211401425,0.08026756,0.36454849,"Rowdy Tellez",15679,642133
"Adley Rutschman","BAL",2024,26,0.708724725,19,68,79,1,0,638,571,0.250437828,0.271929824,58,143,102,21,1,9,2,0.140105079,103,0.318181818,0.390542907,7,2.8326065246348016,0.30890228964212374,-0.6556201001789808,73.9763895997617,103.70312275446855,-1.0548951551318169,0.161442006,0.06105263,0.36421053,"Adley Rutschman",26288,668939
"Jonah Heim","TEX",2024,29,0.602314425,13,45,59,1,1,491,459,0.220043572,0.245810055,26,101,75,12,1,13,4,0.11546841,90,0.266802443,0.335511982,2,-0.14316339725603533,0.2652030060344704,-17.773926119781184,39.66230705054934,70.35728047613486,-1.0337107554078102,0.183299389,0.05929919,0.3638814,"Jonah Heim",16930,641680
"Travis Blankenhorn","WSN",2024,27,0.317540322,0,2,5,0,0,32,31,0.129032258,0.181818181,1,4,3,1,0,0,0,0.032258064,9,0.15625,0.161290322,0,-0.48121873900203693,0.14339715614914894,-4.295556855315426,-0.5522585631553918,-13.453548529914706,-0.03156968951225281,0.28125,0,0.36363636,"Travis Blankenhorn",18395,663905
"Andrew McCutchen","PIT",2024,37,0.738869624,20,66,50,3,2,515,448,0.232142857,0.282828282,58,104,65,18,1,9,7,0.178571428,133,0.328155339,0.410714285,2,0.4856191807115142,0.32450418655510543,5.93781190306622,66.18151879251677,105.49335993111121,-1.2281352952122688,0.258252427,0.11671924,0.36277603,"Andrew McCutchen",9847,457705
"Kyle Isbel","KCR",2024,27,0.654268839,8,62,42,11,2,426,384,0.229166666,0.275862068,27,88,59,13,8,4,5,0.138020834,88,0.287081339,0.3671875,2,1.4470127268249084,0.28624969877694784,-8.20467134414585,41.627987170234604,80.67590489464632,0.6717767789959908,0.206572769,0.03921569,0.3627451,"Kyle Isbel",21614,664728
"Spencer Horwitz","TOR",2024,26,0.789882209,12,46,40,0,0,381,328,0.265243902,0.3,42,87,56,19,0,8,7,0.167682927,70,0.35695538,0.432926829,4,1.8996660597333181,0.34409546867838636,10.400530279253141,54.96917557028355,127.1824659214581,-0.8129195049405098,0.183727034,0.08015267,0.36259542,"Spencer Horwitz",26477,687462
"Dylan Moore","SEA",2024,31,0.687302371,10,53,42,32,6,441,368,0.201086956,0.266666666,53,74,37,23,4,8,14,0.16576087,123,0.320454545,0.366847826,5,2.3899786740700146,0.3058058915485825,-1.5522256408161808,50.035103948014296,105.28023906462668,3.1570421382784843,0.278911564,0.0876494,0.3625498,"Dylan Moore",18042,664238
"Jake Cave","COL",2024,31,0.686139901,7,42,37,5,2,346,323,0.250773993,0.334841628,18,81,53,16,5,6,1,0.145510836,98,0.289855072,0.396284829,3,-0.27242065113352965,0.2951570868838665,-4.183343311749003,36.29106947223137,75.2224695915322,-0.37037479132413864,0.283236994,0.05240175,0.36244541,"Jake Cave",14477,595909
"Jonathan India","CIN",2024,27,0.749600389,15,84,58,13,2,637,533,0.247654784,0.2925,80,132,87,28,2,16,15,0.144465291,125,0.357480314,0.392120075,7,2.79349796339164,0.33337109332948217,11.890467694885283,86.40549932319597,107.57364794843971,0.35356634855270386,0.196232339,0.07673861,0.36211031,"Jonathan India",21523,663697
"Curtis Mead","TBR",2024,23,0.569327993,1,10,7,2,0,132,122,0.237704918,0.304347826,6,29,25,3,0,2,2,0.049180327,30,0.282442748,0.286885245,1,-0.2829058271280866,0.25519760009896664,-5.841316481827861,9.59978897333228,67.35203401329048,0.13955006748437881,0.227272727,0.04255319,0.36170213,"Curtis Mead",23986,678554
"JJ Bleday","OAK",2024,26,0.761555916,20,74,60,2,3,642,572,0.243006993,0.278688524,67,139,72,43,4,8,2,0.194055944,125,0.324492979,0.437062937,0,3.1824584632524227,0.33021923363302047,10.35516926222285,85.45509124868353,120.0438407845668,-1.9120659306645393,0.194704049,0.08258929,0.36160714,"JJ Bleday",26368,668709
"Amed Rosario","- - -",2024,28,0.685876453,3,29,32,13,5,346,332,0.280120481,0.350194552,9,93,69,18,3,10,4,0.099397591,73,0.306358381,0.379518072,1,0.2679845199059133,0.2989004953748229,-3.1408725098676533,37.333540274112714,96.17568021594116,-0.0722106397151947,0.210982658,0.04615385,0.36153846,"Amed Rosario",15518,642708
"Casey Schmitt","SFG",2024,25,0.759821354,6,11,16,0,0,113,107,0.252336448,0.272727272,4,27,16,4,1,2,1,0.224299066,25,0.28318584,0.476635514,1,0.3927824298034075,0.3229154459143107,1.1583649622094192,14.37688705639954,108.97780746816987,-0.16574086993932724,0.221238938,0.08433735,0.36144578,"Casey Schmitt",27577,669477
"Christian Vázquez","MIN",2024,33,0.574917708,7,29,27,3,1,315,294,0.221088435,0.256637168,11,65,48,10,0,11,1,0.105442177,65,0.248387096,0.326530612,4,0.7906632594160724,0.25004671965875935,-15.245413303056713,21.602679260393625,60.35457841765688,-0.27855174243450165,0.206349206,0.03781513,0.36134454,"Christian Vazquez",9774,543877
